d_opt,sigma_d,tissue,d,k_rel,loss
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,0.004641588833612777,2.541711830963921e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,0.006812920690579608,2.5060676223189776e-05
4e-08,1e-08,Transport-Resistant,3.7500000000000005e-08,0.01,2.4709609810098234e-05
4e-08,1e-08,Transport-Resistant,4e-08,1e-06,3.1406745386150463e-06
4e-08,1e-08,Transport-Resistant,4e-08,1.4677992676220705e-06,4.19684733717629e-06
4e-08,1e-08,Transport-Resistant,4e-08,2.1544346900318822e-06,5.79106925252539e-06
4e-08,1e-08,Transport-Resistant,4e-08,3.162277660168379e-06,8.086426221727273e-06
4e-08,1e-08,Transport-Resistant,4e-08,4.641588833612782e-06,1.118391072194294e-05
4e-08,1e-08,Transport-Resistant,4e-08,6.8129206905796085e-06,1.5050529775891658e-05
4e-08,1e-08,Transport-Resistant,4e-08,9.999999999999999e-06,1.9459714468505413e-05
4e-08,1e-08,Transport-Resistant,4e-08,1.4677992676220675e-05,2.397213439052636e-05
4e-08,1e-08,Transport-Resistant,4e-08,2.1544346900318823e-05,2.8007187264773083e-05
4e-08,1e-08,Transport-Resistant,4e-08,3.1622776601683795e-05,3.1026921691463586e-05
4e-08,1e-08,Transport-Resistant,4e-08,4.641588833612772e-05,3.274499958220768e-05
4e-08,1e-08,Transport-Resistant,4e-08,6.812920690579608e-05,3.3214632965862535e-05
4e-08,1e-08,Transport-Resistant,4e-08,0.0001,3.274228285324925e-05
4e-08,1e-08,Transport-Resistant,4e-08,0.0001467799267622069,3.171781372645317e-05
4e-08,1e-08,Transport-Resistant,4e-08,0.00021544346900318823,3.0477832772983317e-05
4e-08,1e-08,Transport-Resistant,4e-08,0.00031622776601683794,2.924867499028084e-05
4e-08,1e-08,Transport-Resistant,4e-08,0.00046415888336127773,2.815074482193849e-05
4e-08,1e-08,Transport-Resistant,4e-08,0.0006812920690579609,2.7227997314044475e-05
4e-08,1e-08,Transport-Resistant,4e-08,0.001,2.647896868009431e-05
4e-08,1e-08,Transport-Resistant,4e-08,0.001467799267622069,2.5879648239144154e-05
4e-08,1e-08,Transport-Resistant,4e-08,0.002154434690031882,2.5397394888701556e-05
4e-08,1e-08,Transport-Resistant,4e-08,0.0031622776601683794,2.4998447034695472e-05
4e-08,1e-08,Transport-Resistant,4e-08,0.004641588833612777,2.4651825601523932e-05
4e-08,1e-08,Transport-Resistant,4e-08,0.006812920690579608,2.433123278848018e-05
